[INFO ] 2020-09-08 14:37:11,341 -- WorkingPath: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/
[INFO ] 2020-09-08 14:37:11,376 -- Your original rating data path: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//ratings.txt
[INFO ] 2020-09-08 14:37:11,376 -- Current working path: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/
[WARN ] 2020-09-08 14:37:11,389 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2020-09-08 14:37:11,438 -- User, Item, Rating, time:na, time:weekday, time:weekend, location:na, location:cinema, location:home, companion:na, companion:alone, companion:family, companion:partner
[INFO ] 2020-09-08 14:37:11,524 -- Data transformaton completed (from Compact to Binary format). See new rating file: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,599 -- Dataset: .../source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,602 -- DataPath: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
[INFO ] 2020-09-08 14:37:11,768 -- Rating data set has been successfully loaded.
[INFO ] 2020-09-08 14:37:11,781 -- 
/******************************************************************************************************
 *
 * Dataset: /home/wagno/Documents/Pesquisa_de_bolsa/CARSKit_Interface/source/datasets//results/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (time, location, companion)
 * Context conditions: 10 (time: 3, location: 3, companion: 4)
 * Context situations: 13
 * Data density: 1.8230%
 * Scale distribution: [1.0 x 829, 2.0 x 625, 4.0 x 1209, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3.328892
 * Standard deviation of all ratings: 1.414777
 * Mode of all rating values: 5.000000
 * Median of all rating values: 4.000000
 *
 ******************************************************************************************************/
[INFO ] 2020-09-08 14:37:11,782 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2020-09-08 14:37:11,817 -- Fold [1]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,826 -- Fold [2]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,834 -- Fold [3]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,840 -- Fold [4]: training amount: 4023, test amount: 1006
[DEBUG] 2020-09-08 14:37:11,844 -- Fold [5]: training amount: 4024, test amount: 1005
[DEBUG] 2020-09-08 14:37:11,866 -- CAMF_CU fold [1] iter 1: loss = 4777.5425, delta_loss = -4777.5425, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,868 -- CAMF_CU fold [2] iter 1: loss = 4812.55, delta_loss = -4812.55, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,873 -- CAMF_CU fold [3] iter 1: loss = 4776.3516, delta_loss = -4776.3516, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,879 -- CAMF_CU fold [5] iter 1: loss = 4682.332, delta_loss = -4682.332, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,883 -- CAMF_CU fold [4] iter 1: loss = 4683.467, delta_loss = -4683.467, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,894 -- CAMF_CU fold [1] iter 2: loss = 2751.0142, delta_loss = 2026.5284, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,895 -- CAMF_CU fold [2] iter 2: loss = 2780.3728, delta_loss = 2032.1771, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,901 -- CAMF_CU fold [3] iter 2: loss = 2747.0125, delta_loss = 2029.3391, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,906 -- CAMF_CU fold [5] iter 2: loss = 2781.5105, delta_loss = 1900.8217, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,912 -- CAMF_CU fold [4] iter 2: loss = 2750.6904, delta_loss = 1932.7765, learn_rate = 0.02
[DEBUG] 2020-09-08 14:37:11,927 -- CAMF_CU fold [2] iter 3: loss = 2376.7925, delta_loss = 403.5803, learn_rate = 0.021
[DEBUG] 2020-09-08 14:37:11,931 -- CAMF_CU fold [1] iter 3: loss = 2353.1174, delta_loss = 397.8968, learn_rate = 0.021
[DEBUG] 2020-09-08 14:37:11,932 -- CAMF_CU fold [3] iter 3: loss = 2360.0493, delta_loss = 386.96313, learn_rate = 0.021
[DEBUG] 2020-09-08 14:37:11,935 -- CAMF_CU fold [5] iter 3: loss = 2397.3953, delta_loss = 384.11526, learn_rate = 0.021
[DEBUG] 2020-09-08 14:37:11,937 -- CAMF_CU fold [4] iter 3: loss = 2340.943, delta_loss = 409.74725, learn_rate = 0.021
[DEBUG] 2020-09-08 14:37:11,947 -- CAMF_CU fold [2] iter 4: loss = 2107.919, delta_loss = 268.87347, learn_rate = 0.022049999
[DEBUG] 2020-09-08 14:37:11,951 -- CAMF_CU fold [3] iter 4: loss = 2091.1033, delta_loss = 268.94604, learn_rate = 0.022049999
[DEBUG] 2020-09-08 14:37:11,953 -- CAMF_CU fold [1] iter 4: loss = 2062.3137, delta_loss = 290.80362, learn_rate = 0.022049999
[DEBUG] 2020-09-08 14:37:11,954 -- CAMF_CU fold [5] iter 4: loss = 2127.5813, delta_loss = 269.81403, learn_rate = 0.022049999
[DEBUG] 2020-09-08 14:37:11,955 -- CAMF_CU fold [4] iter 4: loss = 2048.5178, delta_loss = 292.4254, learn_rate = 0.022049999
[DEBUG] 2020-09-08 14:37:11,966 -- CAMF_CU fold [2] iter 5: loss = 1859.6643, delta_loss = 248.25473, learn_rate = 0.0231525
[DEBUG] 2020-09-08 14:37:11,970 -- CAMF_CU fold [3] iter 5: loss = 1828.5486, delta_loss = 262.55466, learn_rate = 0.0231525
[DEBUG] 2020-09-08 14:37:11,973 -- CAMF_CU fold [4] iter 5: loss = 1784.3978, delta_loss = 264.12003, learn_rate = 0.0231525
[DEBUG] 2020-09-08 14:37:11,973 -- CAMF_CU fold [5] iter 5: loss = 1868.3326, delta_loss = 259.24863, learn_rate = 0.0231525
[DEBUG] 2020-09-08 14:37:11,974 -- CAMF_CU fold [1] iter 5: loss = 1785.2793, delta_loss = 277.03445, learn_rate = 0.0231525
[DEBUG] 2020-09-08 14:37:11,985 -- CAMF_CU fold [2] iter 6: loss = 1639.5865, delta_loss = 220.07765, learn_rate = 0.024310125
[DEBUG] 2020-09-08 14:37:11,994 -- CAMF_CU fold [3] iter 6: loss = 1595.741, delta_loss = 232.80762, learn_rate = 0.024310125
[DEBUG] 2020-09-08 14:37:11,995 -- CAMF_CU fold [4] iter 6: loss = 1567.7988, delta_loss = 216.59892, learn_rate = 0.024310125
[DEBUG] 2020-09-08 14:37:11,996 -- CAMF_CU fold [1] iter 6: loss = 1557.7627, delta_loss = 227.51654, learn_rate = 0.024310125
[DEBUG] 2020-09-08 14:37:11,996 -- CAMF_CU fold [5] iter 6: loss = 1634.1228, delta_loss = 234.20985, learn_rate = 0.024310125
[DEBUG] 2020-09-08 14:37:12,008 -- CAMF_CU fold [2] iter 7: loss = 1467.5925, delta_loss = 171.99413, learn_rate = 0.025525631
[DEBUG] 2020-09-08 14:37:12,012 -- CAMF_CU fold [1] iter 7: loss = 1392.0759, delta_loss = 165.68677, learn_rate = 0.025525631
[DEBUG] 2020-09-08 14:37:12,012 -- CAMF_CU fold [3] iter 7: loss = 1422.828, delta_loss = 172.91295, learn_rate = 0.025525631
[DEBUG] 2020-09-08 14:37:12,015 -- CAMF_CU fold [5] iter 7: loss = 1453.2466, delta_loss = 180.87616, learn_rate = 0.025525631
[DEBUG] 2020-09-08 14:37:12,015 -- CAMF_CU fold [4] iter 7: loss = 1403.6075, delta_loss = 164.19136, learn_rate = 0.025525631
[DEBUG] 2020-09-08 14:37:12,025 -- CAMF_CU fold [2] iter 8: loss = 1342.2579, delta_loss = 125.33452, learn_rate = 0.026801912
[DEBUG] 2020-09-08 14:37:12,028 -- CAMF_CU fold [1] iter 8: loss = 1272.6348, delta_loss = 119.44116, learn_rate = 0.026801912
[DEBUG] 2020-09-08 14:37:12,029 -- CAMF_CU fold [3] iter 8: loss = 1299.6033, delta_loss = 123.22472, learn_rate = 0.026801912
[DEBUG] 2020-09-08 14:37:12,035 -- CAMF_CU fold [4] iter 8: loss = 1280.5704, delta_loss = 123.03701, learn_rate = 0.026801912
[DEBUG] 2020-09-08 14:37:12,035 -- CAMF_CU fold [5] iter 8: loss = 1321.5721, delta_loss = 131.67447, learn_rate = 0.026801912
[DEBUG] 2020-09-08 14:37:12,043 -- CAMF_CU fold [2] iter 9: loss = 1251.6564, delta_loss = 90.60162, learn_rate = 0.028142007
[DEBUG] 2020-09-08 14:37:12,044 -- CAMF_CU fold [1] iter 9: loss = 1186.412, delta_loss = 86.222824, learn_rate = 0.028142007
[DEBUG] 2020-09-08 14:37:12,046 -- CAMF_CU fold [3] iter 9: loss = 1209.3306, delta_loss = 90.27272, learn_rate = 0.028142007
[DEBUG] 2020-09-08 14:37:12,054 -- CAMF_CU fold [4] iter 9: loss = 1188.9255, delta_loss = 91.64494, learn_rate = 0.028142007
[DEBUG] 2020-09-08 14:37:12,055 -- CAMF_CU fold [5] iter 9: loss = 1224.4677, delta_loss = 97.10454, learn_rate = 0.028142007
[DEBUG] 2020-09-08 14:37:12,062 -- CAMF_CU fold [3] iter 10: loss = 1142.2985, delta_loss = 67.032135, learn_rate = 0.029549109
[DEBUG] 2020-09-08 14:37:12,063 -- CAMF_CU fold [2] iter 10: loss = 1185.0591, delta_loss = 66.59725, learn_rate = 0.029549109
[DEBUG] 2020-09-08 14:37:12,064 -- CAMF_CU fold [1] iter 10: loss = 1123.5278, delta_loss = 62.884106, learn_rate = 0.029549109
[DEBUG] 2020-09-08 14:37:12,072 -- CAMF_CU fold [5] iter 10: loss = 1153.3473, delta_loss = 71.12027, learn_rate = 0.029549109
[DEBUG] 2020-09-08 14:37:12,073 -- CAMF_CU fold [4] iter 10: loss = 1121.0623, delta_loss = 67.86323, learn_rate = 0.029549109
[DEBUG] 2020-09-08 14:37:12,074 -- CAMF_CU fold [3] iter 11: loss = 1092.3433, delta_loss = 49.95521, learn_rate = 0.031026565
[DEBUG] 2020-09-08 14:37:12,074 -- CAMF_CU fold [2] iter 11: loss = 1135.5724, delta_loss = 49.486717, learn_rate = 0.031026565
[DEBUG] 2020-09-08 14:37:12,075 -- CAMF_CU fold [1] iter 11: loss = 1077.2411, delta_loss = 46.286804, learn_rate = 0.031026565
[DEBUG] 2020-09-08 14:37:12,076 -- CAMF_CU fold [5] iter 11: loss = 1102.5281, delta_loss = 50.81931, learn_rate = 0.031026565
[DEBUG] 2020-09-08 14:37:12,077 -- CAMF_CU fold [4] iter 11: loss = 1071.3372, delta_loss = 49.7251, learn_rate = 0.031026565
[DEBUG] 2020-09-08 14:37:12,077 -- CAMF_CU fold [3] iter 12: loss = 1055.1886, delta_loss = 37.154682, learn_rate = 0.03257789
[DEBUG] 2020-09-08 14:37:12,077 -- CAMF_CU fold [2] iter 12: loss = 1098.9783, delta_loss = 36.594048, learn_rate = 0.03257789
[DEBUG] 2020-09-08 14:37:12,078 -- CAMF_CU fold [5] iter 12: loss = 1067.0237, delta_loss = 35.504303, learn_rate = 0.03257789
[DEBUG] 2020-09-08 14:37:12,079 -- CAMF_CU fold [1] iter 12: loss = 1043.4717, delta_loss = 33.769386, learn_rate = 0.03257789
[DEBUG] 2020-09-08 14:37:12,080 -- CAMF_CU fold [2] iter 13: loss = 1072.3335, delta_loss = 26.644838, learn_rate = 0.034206785
[DEBUG] 2020-09-08 14:37:12,080 -- CAMF_CU fold [4] iter 12: loss = 1035.3804, delta_loss = 35.956844, learn_rate = 0.03257789
[DEBUG] 2020-09-08 14:37:12,081 -- CAMF_CU fold [5] iter 13: loss = 1042.6398, delta_loss = 24.383993, learn_rate = 0.034206785
[DEBUG] 2020-09-08 14:37:12,081 -- CAMF_CU fold [3] iter 13: loss = 1028.0643, delta_loss = 27.124205, learn_rate = 0.034206785
[DEBUG] 2020-09-08 14:37:12,082 -- CAMF_CU fold [1] iter 13: loss = 1019.4671, delta_loss = 24.004593, learn_rate = 0.034206785
[DEBUG] 2020-09-08 14:37:12,082 -- CAMF_CU fold [2] iter 14: loss = 1053.307, delta_loss = 19.026478, learn_rate = 0.035917126
[DEBUG] 2020-09-08 14:37:12,084 -- CAMF_CU fold [5] iter 14: loss = 1026.2921, delta_loss = 16.3476, learn_rate = 0.035917126
[DEBUG] 2020-09-08 14:37:12,084 -- CAMF_CU fold [4] iter 13: loss = 1009.698, delta_loss = 25.682375, learn_rate = 0.034206785
[DEBUG] 2020-09-08 14:37:12,085 -- CAMF_CU fold [3] iter 14: loss = 1009.10657, delta_loss = 18.957775, learn_rate = 0.035917126
[DEBUG] 2020-09-08 14:37:12,085 -- CAMF_CU fold [2] iter 15: loss = 1040.1921, delta_loss = 13.114806, learn_rate = 0.037712984
[DEBUG] 2020-09-08 14:37:12,086 -- CAMF_CU fold [1] iter 14: loss = 1003.08203, delta_loss = 16.385067, learn_rate = 0.035917126
[DEBUG] 2020-09-08 14:37:12,086 -- CAMF_CU fold [5] iter 15: loss = 1015.9549, delta_loss = 10.3372345, learn_rate = 0.037712984
[DEBUG] 2020-09-08 14:37:12,088 -- CAMF_CU fold [4] iter 14: loss = 991.6688, delta_loss = 18.029135, learn_rate = 0.035917126
[DEBUG] 2020-09-08 14:37:12,088 -- CAMF_CU fold [3] iter 15: loss = 996.87524, delta_loss = 12.231303, learn_rate = 0.037712984
[DEBUG] 2020-09-08 14:37:12,088 -- CAMF_CU fold [5] iter 16: loss = 1010.3775, delta_loss = 5.5774045, learn_rate = 0.039598633
[DEBUG] 2020-09-08 14:37:12,088 -- CAMF_CU fold [2] iter 16: loss = 1031.9248, delta_loss = 8.267341, learn_rate = 0.039598633
[DEBUG] 2020-09-08 14:37:12,089 -- CAMF_CU fold [1] iter 15: loss = 992.67737, delta_loss = 10.40463, learn_rate = 0.037712984
[DEBUG] 2020-09-08 14:37:12,090 -- CAMF_CU fold [5] iter 17: loss = 1008.8044, delta_loss = 1.5731417, learn_rate = 0.04157856
[DEBUG] 2020-09-08 14:37:12,090 -- CAMF_CU fold [2] iter 17: loss = 1027.8995, delta_loss = 4.025314, learn_rate = 0.04157856
[DEBUG] 2020-09-08 14:37:12,091 -- CAMF_CU fold [4] iter 15: loss = 979.4646, delta_loss = 12.204217, learn_rate = 0.037712984
[DEBUG] 2020-09-08 14:37:12,091 -- CAMF_CU fold [3] iter 16: loss = 990.20886, delta_loss = 6.6663675, learn_rate = 0.039598633
[DEBUG] 2020-09-08 14:37:12,092 -- CAMF_CU fold [5] iter 18: loss = 1010.7753, delta_loss = -1.9709901, learn_rate = 0.04365749
[DEBUG] 2020-09-08 14:37:12,092 -- CAMF_CU fold [1] iter 16: loss = 987.13165, delta_loss = 5.5457625, learn_rate = 0.039598633
