Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:00'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
Final Results by ItemKNN, Pre5: 0.083958,Pre10: 0.070016, Rec5: 0.140883, Rec10: 0.233650, AUC5: 0.636224, AUC10: 0.684534, MAP5: 0.076828, MAP10: 0.095455,NDCG5: 0.117902, NDCG10: 0.158393,MRR5: 0.172848, MRR10: 0.189749, 10, pcc, -1, Time: '00:00','00:01'
