[INFO ] 2020-08-24 18:38:01,969 -- WorkingPath: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\
[INFO ] 2020-08-24 18:38:01,982 -- Your original rating data path: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\ratings.txt
[INFO ] 2020-08-24 18:38:01,983 -- Current working path: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\
[WARN ] 2020-08-24 18:38:01,988 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2020-08-24 18:38:02,069 -- User, Item, Rating, time:na, time:weekday, time:weekend, location:na, location:cinema, location:home, companion:na, companion:alone, companion:family, companion:partner
[INFO ] 2020-08-24 18:38:02,291 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,316 -- Dataset: ...e\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,320 -- DataPath: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
[INFO ] 2020-08-24 18:38:02,602 -- Rating data set has been successfully loaded.
[INFO ] 2020-08-24 18:38:02,626 -- 
/**************************************************************************************************
 *
 * Dataset: C:\Users\Waguinho\Documents\pesquisa\CARSKit_Interface\source\datasets\results\train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (time, location, companion)
 * Context conditions: 10 (time: 3, location: 3, companion: 4)
 * Context situations: 13
 * Data density: 1,8230%
 * Scale distribution: [1.0 x 829, 2.0 x 625, 4.0 x 1209, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3,328892
 * Standard deviation of all ratings: 1,414777
 * Mode of all rating values: 5,000000
 * Median of all rating values: 4,000000
 *
 **************************************************************************************************/
[INFO ] 2020-08-24 18:38:02,630 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2020-08-24 18:38:02,655 -- Fold [1]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,672 -- Fold [2]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,687 -- Fold [3]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,702 -- Fold [4]: training amount: 4023, test amount: 1006
[DEBUG] 2020-08-24 18:38:02,709 -- Fold [5]: training amount: 4024, test amount: 1005
[DEBUG] 2020-08-24 18:38:02,749 -- CAMF_CU fold [3] iter 1: loss = 4543.3984, delta_loss = -4543.3984, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,757 -- CAMF_CU fold [2] iter 1: loss = 4644.3027, delta_loss = -4644.3027, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,758 -- CAMF_CU fold [1] iter 1: loss = 4598.27, delta_loss = -4598.27, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,782 -- CAMF_CU fold [2] iter 2: loss = 2732.447, delta_loss = 1911.8557, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,783 -- CAMF_CU fold [3] iter 2: loss = 2719.9495, delta_loss = 1823.4491, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,795 -- CAMF_CU fold [2] iter 3: loss = 2345.7083, delta_loss = 386.73865, learn_rate = 0.021
[DEBUG] 2020-08-24 18:38:02,795 -- CAMF_CU fold [3] iter 3: loss = 2344.9216, delta_loss = 375.02786, learn_rate = 0.021
[DEBUG] 2020-08-24 18:38:02,817 -- CAMF_CU fold [2] iter 4: loss = 2068.695, delta_loss = 277.01337, learn_rate = 0.022049999
[DEBUG] 2020-08-24 18:38:02,818 -- CAMF_CU fold [1] iter 2: loss = 2749.2874, delta_loss = 1848.9828, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,830 -- CAMF_CU fold [1] iter 3: loss = 2361.6462, delta_loss = 387.64114, learn_rate = 0.021
[DEBUG] 2020-08-24 18:38:02,834 -- CAMF_CU fold [5] iter 1: loss = 4599.1035, delta_loss = -4599.1035, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,846 -- CAMF_CU fold [5] iter 2: loss = 2755.4487, delta_loss = 1843.655, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,847 -- CAMF_CU fold [4] iter 1: loss = 4738.544, delta_loss = -4738.544, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,855 -- CAMF_CU fold [1] iter 4: loss = 2075.8677, delta_loss = 285.77847, learn_rate = 0.022049999
[DEBUG] 2020-08-24 18:38:02,858 -- CAMF_CU fold [4] iter 2: loss = 2778.0862, delta_loss = 1960.4576, learn_rate = 0.02
[DEBUG] 2020-08-24 18:38:02,862 -- CAMF_CU fold [3] iter 4: loss = 2081.1804, delta_loss = 263.74115, learn_rate = 0.022049999
[DEBUG] 2020-08-24 18:38:02,875 -- CAMF_CU fold [2] iter 5: loss = 1797.5044, delta_loss = 271.19058, learn_rate = 0.0231525
[DEBUG] 2020-08-24 18:38:02,882 -- CAMF_CU fold [3] iter 5: loss = 1825.9933, delta_loss = 255.18724, learn_rate = 0.0231525
[DEBUG] 2020-08-24 18:38:02,884 -- CAMF_CU fold [5] iter 3: loss = 2393.8604, delta_loss = 361.58823, learn_rate = 0.021
[DEBUG] 2020-08-24 18:38:02,888 -- CAMF_CU fold [2] iter 6: loss = 1563.7606, delta_loss = 233.74387, learn_rate = 0.024310125
[DEBUG] 2020-08-24 18:38:02,895 -- CAMF_CU fold [3] iter 6: loss = 1598.2408, delta_loss = 227.75238, learn_rate = 0.024310125
[DEBUG] 2020-08-24 18:38:02,897 -- CAMF_CU fold [5] iter 4: loss = 2134.2717, delta_loss = 259.5887, learn_rate = 0.022049999
[DEBUG] 2020-08-24 18:38:02,899 -- CAMF_CU fold [2] iter 7: loss = 1395.9824, delta_loss = 167.77817, learn_rate = 0.025525631
[DEBUG] 2020-08-24 18:38:02,908 -- CAMF_CU fold [1] iter 5: loss = 1789.2505, delta_loss = 286.61725, learn_rate = 0.0231525
[DEBUG] 2020-08-24 18:38:02,908 -- CAMF_CU fold [4] iter 3: loss = 2361.9453, delta_loss = 416.14096, learn_rate = 0.021
[DEBUG] 2020-08-24 18:38:02,909 -- CAMF_CU fold [5] iter 5: loss = 1873.6459, delta_loss = 260.6259, learn_rate = 0.0231525
[DEBUG] 2020-08-24 18:38:02,919 -- CAMF_CU fold [1] iter 6: loss = 1538.4756, delta_loss = 250.77486, learn_rate = 0.024310125
[DEBUG] 2020-08-24 18:38:02,929 -- CAMF_CU fold [4] iter 4: loss = 2049.8123, delta_loss = 312.13293, learn_rate = 0.022049999
[DEBUG] 2020-08-24 18:38:02,931 -- CAMF_CU fold [1] iter 7: loss = 1362.9886, delta_loss = 175.48692, learn_rate = 0.025525631
[DEBUG] 2020-08-24 18:38:02,943 -- CAMF_CU fold [4] iter 5: loss = 1754.1436, delta_loss = 295.66882, learn_rate = 0.0231525
[DEBUG] 2020-08-24 18:38:02,949 -- CAMF_CU fold [2] iter 8: loss = 1282.0265, delta_loss = 113.95588, learn_rate = 0.026801912
[DEBUG] 2020-08-24 18:38:02,957 -- CAMF_CU fold [3] iter 7: loss = 1422.3517, delta_loss = 175.88918, learn_rate = 0.025525631
[DEBUG] 2020-08-24 18:38:02,961 -- CAMF_CU fold [2] iter 9: loss = 1202.6001, delta_loss = 79.42638, learn_rate = 0.028142007
[DEBUG] 2020-08-24 18:38:02,967 -- CAMF_CU fold [3] iter 8: loss = 1295.6227, delta_loss = 126.72907, learn_rate = 0.026801912
[DEBUG] 2020-08-24 18:38:02,969 -- CAMF_CU fold [2] iter 10: loss = 1145.2189, delta_loss = 57.381245, learn_rate = 0.029549109
[DEBUG] 2020-08-24 18:38:02,973 -- CAMF_CU fold [5] iter 6: loss = 1631.5146, delta_loss = 242.13115, learn_rate = 0.024310125
[DEBUG] 2020-08-24 18:38:02,983 -- CAMF_CU fold [3] iter 9: loss = 1206.3767, delta_loss = 89.245964, learn_rate = 0.028142007
[DEBUG] 2020-08-24 18:38:02,984 -- CAMF_CU fold [1] iter 8: loss = 1248.3955, delta_loss = 114.59319, learn_rate = 0.026801912
[DEBUG] 2020-08-24 18:38:02,985 -- CAMF_CU fold [5] iter 7: loss = 1447.4797, delta_loss = 184.03493, learn_rate = 0.025525631
[DEBUG] 2020-08-24 18:38:02,989 -- CAMF_CU fold [3] iter 10: loss = 1143.6724, delta_loss = 62.70428, learn_rate = 0.029549109
[DEBUG] 2020-08-24 18:38:02,990 -- CAMF_CU fold [1] iter 9: loss = 1169.7786, delta_loss = 78.61692, learn_rate = 0.028142007
[DEBUG] 2020-08-24 18:38:02,991 -- CAMF_CU fold [5] iter 8: loss = 1319.2323, delta_loss = 128.24745, learn_rate = 0.026801912
[DEBUG] 2020-08-24 18:38:02,995 -- CAMF_CU fold [3] iter 11: loss = 1099.1038, delta_loss = 44.568623, learn_rate = 0.031026565
[DEBUG] 2020-08-24 18:38:02,996 -- CAMF_CU fold [5] iter 9: loss = 1228.1361, delta_loss = 91.09614, learn_rate = 0.028142007
[DEBUG] 2020-08-24 18:38:03,000 -- CAMF_CU fold [2] iter 11: loss = 1102.5889, delta_loss = 42.630054, learn_rate = 0.031026565
[DEBUG] 2020-08-24 18:38:03,001 -- CAMF_CU fold [4] iter 6: loss = 1514.7932, delta_loss = 239.35027, learn_rate = 0.024310125
[DEBUG] 2020-08-24 18:38:03,005 -- CAMF_CU fold [5] iter 10: loss = 1162.1521, delta_loss = 65.98409, learn_rate = 0.029549109
[DEBUG] 2020-08-24 18:38:03,006 -- CAMF_CU fold [2] iter 12: loss = 1070.4025, delta_loss = 32.18637, learn_rate = 0.03257789
[DEBUG] 2020-08-24 18:38:03,008 -- CAMF_CU fold [4] iter 7: loss = 1347.072, delta_loss = 167.72118, learn_rate = 0.025525631
[DEBUG] 2020-08-24 18:38:02,995 -- CAMF_CU fold [1] iter 10: loss = 1113.3694, delta_loss = 56.40918, learn_rate = 0.029549109
[DEBUG] 2020-08-24 18:38:03,011 -- CAMF_CU fold [2] iter 13: loss = 1046.1637, delta_loss = 24.238752, learn_rate = 0.034206785
[DEBUG] 2020-08-24 18:38:03,013 -- CAMF_CU fold [4] iter 8: loss = 1230.6423, delta_loss = 116.42975, learn_rate = 0.026801912
[DEBUG] 2020-08-24 18:38:03,015 -- CAMF_CU fold [1] iter 11: loss = 1071.9265, delta_loss = 41.44291, learn_rate = 0.031026565
[DEBUG] 2020-08-24 18:38:03,019 -- CAMF_CU fold [2] iter 14: loss = 1028.478, delta_loss = 17.68563, learn_rate = 0.035917126
[DEBUG] 2020-08-24 18:38:03,019 -- CAMF_CU fold [4] iter 9: loss = 1146.2021, delta_loss = 84.44022, learn_rate = 0.028142007
[DEBUG] 2020-08-24 18:38:03,020 -- CAMF_CU fold [1] iter 12: loss = 1041.1246, delta_loss = 30.801865, learn_rate = 0.03257789
[DEBUG] 2020-08-24 18:38:03,025 -- CAMF_CU fold [2] iter 15: loss = 1016.5168, delta_loss = 11.961273, learn_rate = 0.037712984
[DEBUG] 2020-08-24 18:38:03,027 -- CAMF_CU fold [4] iter 10: loss = 1083.7483, delta_loss = 62.45379, learn_rate = 0.029549109
[DEBUG] 2020-08-24 18:38:03,034 -- CAMF_CU fold [5] iter 11: loss = 1114.283, delta_loss = 47.869087, learn_rate = 0.031026565
[DEBUG] 2020-08-24 18:38:03,034 -- CAMF_CU fold [3] iter 12: loss = 1066.9944, delta_loss = 32.109413, learn_rate = 0.03257789
[DEBUG] 2020-08-24 18:38:03,035 -- CAMF_CU fold [2] iter 16: loss = 1009.65643, delta_loss = 6.8603926, learn_rate = 0.039598633
[DEBUG] 2020-08-24 18:38:03,038 -- CAMF_CU fold [1] iter 13: loss = 1018.35504, delta_loss = 22.769543, learn_rate = 0.034206785
[DEBUG] 2020-08-24 18:38:03,040 -- CAMF_CU fold [5] iter 12: loss = 1079.6909, delta_loss = 34.592056, learn_rate = 0.03257789
[DEBUG] 2020-08-24 18:38:03,041 -- CAMF_CU fold [3] iter 13: loss = 1043.7761, delta_loss = 23.218195, learn_rate = 0.034206785
[DEBUG] 2020-08-24 18:38:03,043 -- CAMF_CU fold [1] iter 14: loss = 1002.00726, delta_loss = 16.347773, learn_rate = 0.035917126
[DEBUG] 2020-08-24 18:38:03,045 -- CAMF_CU fold [2] iter 17: loss = 1007.3229, delta_loss = 2.333532, learn_rate = 0.04157856
[DEBUG] 2020-08-24 18:38:03,045 -- CAMF_CU fold [5] iter 13: loss = 1054.9481, delta_loss = 24.74286, learn_rate = 0.034206785
[DEBUG] 2020-08-24 18:38:03,047 -- CAMF_CU fold [3] iter 14: loss = 1027.2861, delta_loss = 16.49006, learn_rate = 0.035917126
[DEBUG] 2020-08-24 18:38:03,049 -- CAMF_CU fold [1] iter 15: loss = 991.0343, delta_loss = 10.972954, learn_rate = 0.037712984
[DEBUG] 2020-08-24 18:38:03,051 -- CAMF_CU fold [5] iter 14: loss = 1037.793, delta_loss = 17.155159, learn_rate = 0.035917126
[DEBUG] 2020-08-24 18:38:03,052 -- CAMF_CU fold [3] iter 15: loss = 1016.22845, delta_loss = 11.057614, learn_rate = 0.037712984
