Final Results by CAMF_CU, Pre5: 0,054541,Pre10: 0,060368, Rec5: 0,094465, Rec10: 0,212867, AUC5: 0,593502, AUC10: 0,666049, MAP5: 0,042571, MAP10: 0,063394,NDCG5: 0,071102, NDCG10: 0,121583,MRR5: 0,100703, MRR10: 0,126481, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:05','00:00'
Final Results by CAMF_CU, Pre5: 0,052044,Pre10: 0,055606, Rec5: 0,091612, Rec10: 0,192090, AUC5: 0,589491, AUC10: 0,653822, MAP5: 0,036984, MAP10: 0,054592,NDCG5: 0,064597, NDCG10: 0,108193,MRR5: 0,086537, MRR10: 0,109977, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:03','00:00'
Final Results by CAMF_CU, Pre5: 0,056887,Pre10: 0,057998, Rec5: 0,106573, Rec10: 0,207202, AUC5: 0,600496, AUC10: 0,664093, MAP5: 0,047056, MAP10: 0,064357,NDCG5: 0,077394, NDCG10: 0,120599,MRR5: 0,105212, MRR10: 0,127923, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:03','00:00'
Final Results by CAMF_CU, Pre5: 0,053590,Pre10: 0,060293, Rec5: 0,097668, Rec10: 0,214248, AUC5: 0,596300, AUC10: 0,666889, MAP5: 0,041524, MAP10: 0,061882,NDCG5: 0,070891, NDCG10: 0,120725,MRR5: 0,099820, MRR10: 0,124994, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:03','00:00'
Final Results by CAMF_CU, Pre5: 0,053741,Pre10: 0,057199, Rec5: 0,100612, Rec10: 0,201824, AUC5: 0,596543, AUC10: 0,659623, MAP5: 0,041044, MAP10: 0,058959,NDCG5: 0,070675, NDCG10: 0,114762,MRR5: 0,095497, MRR10: 0,118677, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:02','00:00'
Final Results by CAMF_CU, Pre5: 0,055775,Pre10: 0,058682, Rec5: 0,101019, Rec10: 0,210436, AUC5: 0,599025, AUC10: 0,664151, MAP5: 0,044598, MAP10: 0,063851,NDCG5: 0,074109, NDCG10: 0,120772,MRR5: 0,100610, MRR10: 0,124018, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,053923,Pre10: 0,060642, Rec5: 0,096442, Rec10: 0,215762, AUC5: 0,595875, AUC10: 0,668664, MAP5: 0,041807, MAP10: 0,062553,NDCG5: 0,071551, NDCG10: 0,122549,MRR5: 0,104725, MRR10: 0,131035, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,053087,Pre10: 0,055951, Rec5: 0,093175, Rec10: 0,192714, AUC5: 0,591277, AUC10: 0,653786, MAP5: 0,043683, MAP10: 0,060863,NDCG5: 0,071445, NDCG10: 0,114473,MRR5: 0,101875, MRR10: 0,124508, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CU, Pre5: 0,050347,Pre10: 0,055773, Rec5: 0,086885, Rec10: 0,192702, AUC5: 0,586701, AUC10: 0,653955, MAP5: 0,038525, MAP10: 0,056284,NDCG5: 0,064872, NDCG10: 0,109962,MRR5: 0,091187, MRR10: 0,114920, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:04','00:04'
Final Results by CAMF_CU, Pre5: 0,053173,Pre10: 0,058139, Rec5: 0,093788, Rec10: 0,203962, AUC5: 0,591124, AUC10: 0,658696, MAP5: 0,039145, MAP10: 0,058757,NDCG5: 0,067491, NDCG10: 0,114982,MRR5: 0,093647, MRR10: 0,118008, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:02','00:01'
Final Results by CAMF_CU, Pre5: 0,055203,Pre10: 0,060067, Rec5: 0,095435, Rec10: 0,204984, AUC5: 0,594931, AUC10: 0,660631, MAP5: 0,042832, MAP10: 0,062473,NDCG5: 0,071826, NDCG10: 0,119371,MRR5: 0,100539, MRR10: 0,124468, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
